Episode 85/20000 => steps=34, reward=6142.423, coverage=81/81 (100.0%)
Episode 86/20000 => steps=18, reward=3778.387, coverage=81/81 (100.0%)
Episode 87/20000 => steps=20, reward=3815.863, coverage=81/81 (100.0%)
Episode 88/20000 => steps=99, reward=18244.292, coverage=81/81 (100.0%)
Episode 89/20000 => steps=103, reward=19141.050, coverage=81/81 (100.0%)
Episode 90/20000 => steps=63, reward=11774.220, coverage=81/81 (100.0%)
Episode 91/20000 => steps=24, reward=4698.626, coverage=81/81 (100.0%)
Episode 92/20000 => steps=78, reward=14335.969, coverage=81/81 (100.0%)
Episode 93/20000 => steps=21, reward=4207.499, coverage=81/81 (100.0%)
Episode 94/20000 => steps=67, reward=12823.107, coverage=81/81 (100.0%)
Episode 95/20000 => steps=18, reward=3758.012, coverage=81/81 (100.0%)
Episode 96/20000 => steps=38, reward=7016.031, coverage=81/81 (100.0%)
Episode 97/20000 => steps=145, reward=26150.315, coverage=81/81 (100.0%)
Episode 98/20000 => steps=53, reward=9295.636, coverage=81/81 (100.0%)
Episode 99/20000 => steps=33, reward=6438.686, coverage=81/81 (100.0%)
Episode 100/20000 => steps=40, reward=7823.925, coverage=81/81 (100.0%)
Episode 101/20000 => steps=43, reward=8481.617, coverage=81/81 (100.0%)
Episode 102/20000 => steps=69, reward=12449.852, coverage=81/81 (100.0%)
Episode 103/20000 => steps=36, reward=7219.629, coverage=81/81 (100.0%)
Episode 104/20000 => steps=23, reward=4672.264, coverage=81/81 (100.0%)
Episode 105/20000 => steps=30, reward=4908.784, coverage=81/81 (100.0%)
Episode 106/20000 => steps=21, reward=4273.917, coverage=81/81 (100.0%)
Episode 107/20000 => steps=70, reward=13245.104, coverage=81/81 (100.0%)
Episode 108/20000 => steps=37, reward=7481.982, coverage=81/81 (100.0%)
Episode 109/20000 => steps=13, reward=2888.622, coverage=81/81 (100.0%)
Episode 110/20000 => steps=285, reward=49882.897, coverage=81/81 (100.0%)
Episode 111/20000 => steps=60, reward=9959.018, coverage=81/81 (100.0%)
Episode 112/20000 => steps=22, reward=4307.668, coverage=81/81 (100.0%)
Episode 113/20000 => steps=133, reward=22648.262, coverage=81/81 (100.0%)
Episode 114/20000 => steps=52, reward=9908.157, coverage=81/81 (100.0%)
Episode 115/20000 => steps=20, reward=4065.805, coverage=81/81 (100.0%)
Episode 116/20000 => steps=86, reward=15958.934, coverage=81/81 (100.0%)
Episode 117/20000 => steps=39, reward=7165.924, coverage=81/81 (100.0%)
